Amazon Order ID,Odoo Order IDs,Odoo Order Names,Invoice Statuses,States,Amounts
305-1884948-7373126,132207; 132206,FBA305-1884948-7373126; FBA305-1884948-7373126,invoiced; invoiced,sale; sale,114.708; 86.056
407-4314161-8064347,132704; 132518,FBA407-4314161-8064347; FBA407-4314161-8064347,to invoice; to invoice,sale; sale,45.86; 57.354
406-4534071-2620345,132475; 132252,FBA406-4534071-2620345; FBA406-4534071-2620345,invoiced; invoiced,sale; sale,86.043; 86.031
028-6432569-5249941,130685; 130577,FBA028-6432569-5249941; FBA028-6432569-5249941,invoiced; invoiced,sale; sale,28.677; 28.677
306-8015384-9161163,130485; 130484,FBA306-8015384-9161163; FBA306-8015384-9161163,invoiced; invoiced,sale; sale,30.976; 28.677
403-9379607-9423536,129392; 129354,FBA403-9379607-9423536; FBA403-9379607-9423536,to invoice; to invoice,sale; sale,38.974; 38.962
302-1107761-2749130,130047; 129576,FBA302-1107761-2749130; FBA302-1107761-2749130,to invoice; to invoice,sale; sale,30.976; 28.677
028-3388441-7026761,129855; 129854,FBA028-3388441-7026761; FBA028-3388441-7026761,to invoice; to invoice,sale; sale,127.413; 212.379
306-6807390-9520350,129594; 129513,FBA306-6807390-9520350; FBA306-6807390-9520350,to invoice; to invoice,sale; sale,22.869; 114.381
304-0507267-5785913,128180; 128179,FBA304-0507267-5785913; FBA304-0507267-5785913,invoiced; invoiced,sale; sale,28.677; 27.528
306-4762737-4445945,128089; 127950,FBA306-4762737-4445945; FBA306-4762737-4445945,to invoice; to invoice,sale; sale,125.828; 45.738
304-2678694-8962726,128191; 127714,FBA304-2678694-8962726; FBA304-2678694-8962726,to invoice; to invoice,sale; sale,28.677; 45.871
305-7352024-0685105,126787; 126786,FBA305-7352024-0685105; FBA305-7352024-0685105,no; no,sale; sale,32.61; 30.19
028-7034663-4382759,125944; 125943,FBA028-7034663-4382759; FBA028-7034663-4382759,to invoice; to invoice,sale; sale,92.989; 76.122
406-6788268-4504364,125693; 125692,FBA406-6788268-4504364; FBA406-6788268-4504364,to invoice; to invoice,sale; sale,241.519; 195.66
